"","block","streetName","streetType","stretTypeNum","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","flushOilNum","class","classnum","pavement","streetID","NumofYrs","predict"
"2981",300,"FOBES","AVE",6,"",6,3,3,818,21,"4/14/2016",1985,"F",3,"Local",1,"3",12581062,"31",6
"2982",300,"FOREST HILL","DR",4,"",4,2,2,834,36,"4/14/2016",1999,"F",3,"Local",1,"6",13018676,"17",4
"2983",300,"FOREST HILL","DR",4,"",4,2,2,834,36,"4/14/2016",1999,"F",3,"Local",1,"6",12580970,"17",4
"2984",300,"FORMAN","AVE",6,"",6,3,3,520,37,"5/15/2016",2004,"F",3,"Local",1,"6",12577801,"12",6
"2985",300,"FORMAN","AVE",6,"",6,3,3,520,37,"5/15/2016",2004,"F",3,"Local",1,"6",12577803,"12",6
"2986",300,"FORMAN","AVE",6,"",6,3,3,520,37,"5/15/2016",2004,"F",3,"Local",1,"6",12577799,"12",6
"2987",300,"FORMAN","AVE",6,"",6,3,3,520,37,"5/15/2016",2004,"F",3,"Local",1,"6",12577781,"12",6
"2988",300,"FOURTH NORTH","ST",3,"",7,3,4,161,34,"4/15/2016",1999,"O",2,"Local",1,"3",13001315,"17",6
"2989",300,"FRANKLIN","ST",3,"N",8,4,4,552,45,"4/15/2016",2010,"F",3,"Local",1,"6",12573939,"6",8
"2990",300,"FRANKLIN","ST",3,"S",6,4,2,300,45,"4/14/2016",2001,"F",3,"Local",1,"6",12573744,"15",6
"2991",300,"FURMAN","ST",3,"",8,4,5,656,30,"3/14/2016",2005,"F",3,"Local",1,"6",12573230,"11",8
"2992",300,"GARFIELD","AVE",6,"",5,4,2,588,27,"3/15/2016",1999,"F",3,"Local",1,"6",12577295,"17",6
"2993",300,"GARFIELD","AVE",6,"",5,4,2,588,27,"3/15/2016",1999,"F",3,"Local",1,"6",12577298,"17",6
"2994",300,"GEDDES","ST",3,"N",8,4,4,792,46,"4/14/2016",2011,"F",3,"MA",3,"6",12573540,"5",8
"2995",300,"GEDDES","ST",3,"S",8,4,5,248,56,"6/14/2016",2011,"F",3,"MA",3,"6",12573436,"5",8
"2996",300,"GEDDES","ST",3,"S",8,4,5,248,56,"6/14/2016",2011,"F",3,"MA",3,"6",12573437,"5",8
"2997",300,"GENANT","DR",4,"",5,3,2,671,21,"4/15/2016",1985,"F",3,"Local",1,"6",13001321,"31",5
"2998",300,"GENESEE","ST",3,"W",8,4,5,483,40,"4/15/2016",1999,"F",3,"PA",4,"6",12573876,"17",8
"2999",300,"GENESEE","ST",3,"W",8,4,5,483,40,"4/15/2016",1999,"F",3,"PA",4,"6",12573895,"17",8
"3000",300,"GENESEE PARK","DR",4,"",6,3,4,1323,27,"5/14/2016",1999,"O",2,"Local",1,"3",12578740,"17",6
"3001",300,"GENESEE PARK","DR",4,"",6,3,4,1323,27,"5/14/2016",1999,"O",2,"Local",1,"3",12578733,"17",6
"3002",300,"GENESEE PARK","DR",4,"",6,3,4,1323,27,"5/14/2016",1999,"O",2,"Local",1,"3",12578739,"17",6
"3003",300,"GENESEE PARK","DR",4,"",6,3,4,1323,27,"5/14/2016",1999,"O",2,"Local",1,"3",12578737,"17",6
"3004",300,"GERTRUDE","ST",3,"",7,4,2,700,27,"4/15/2016",2004,"F",3,"Local",1,"6",12578285,"12",7
"3005",300,"GIFFORD","ST",3,"",5,3,2,552,30,"6/14/2016",1985,"F",3,"Local",1,"6",13012508,"31",5
"3006",300,"GIFFORD","ST",3,"",5,3,2,552,30,"6/14/2016",1985,"F",3,"Local",1,"6",12573659,"31",5
"3007",300,"GIFFORD","ST",3,"",5,3,2,552,30,"6/14/2016",1985,"F",3,"Local",1,"6",12573650,"31",5
"3008",300,"GIFFORD","ST",3,"",5,3,2,552,30,"6/14/2016",1985,"F",3,"Local",1,"6",12573651,"31",5
