block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs
300,HAYDEN,AVE,6,,7,3,4,220,,3/1/2000,1985,,1,1,Local,,12572774,15
300,HAZELHURST,AVE,6,,7,4,4,250,27,1/1/2016,1985,"1/2F,1/2O",1,9,Local,,12581057,31
300,HAZELHURST,AVE,6,,7,4,4,250,27,1/1/2016,1985,"1/2F,1/2O",1,9,Local,,12581054,31
300,HELEN,ST,3,,7,4,4,473,27,12/1/2000,1985,F,1,3,Local,6,12580438,15
300,HERALD,PL,2,,19,5,5,325,40,1/1/2016,1999,,1,1,Local,6,12573936,17
300,HERBERT,ST,3,,6,3,4,300,31.3,1/1/2000,1999,O,1,2,Local,3,12580166,1
300,HERKIMER,ST,3,,7,3,4,576,29,3/1/2000,1985,,1,1,Local,,12572845,15
300,HERRIMAN,ST,3,,7,4,4,270,28,12/1/1999,1985,,1,1,Local,3,12573020,14
300,HIAWATHA,BLVD,10,E,5,3,2,527,,11/1/1999,1985,F,3,3,MA,6,12575244,14
300,HIAWATHA,BLVD,10,W,6,3,4,808,45,1/1/2016,1985,F,3,3,MA,,13006016,31
300,HICKORY,ST,3,,5,3,2,367,27,2/1/2000,1985,F,1,3,Local,6,12577952,15
300,HIER,AVE,6,,4,2,3,275,27,12/1/2000,1985,F,1,3,Local,6,12580236,15
300,HIGHLAND,AVE,6,,5,3,2,1015,30,12/1/2000,1985,F,1,3,Local,6,12580338,15
300,HIGHLAND,ST,3,,5,3,3,438,27,12/1/1999,1985,F,1,3,Local,6,12580075,14
300,HIGHRIDGE,DR,4,,7,3,4,325,21,12/1/1999,1999,,1,1,Local,3,12572262,0
300,HILLSBORO,PKWY,9,,10,5,5,917,42,12/1/1999,1985,O,1,2,Local,3,13011028,14
300,HILLSBORO,PKWY,9,,10,5,5,917,42,12/1/1999,1985,O,1,2,Local,3,13011026,14
300,HILLSBORO,PKWY,9,,10,5,5,917,42,12/1/1999,1985,O,1,2,Local,3,12578675,14
300,HILLSDALE,AVE,6,,7,3,4,818,27,12/1/1999,1985,O,1,2,Local,3,12580974,14
300,HILLSIDE,ST,3,,6,3,4,600,27,12/1/2000,1985,F,1,3,Local,6,12580659,15
300,HILLSIDE,ST,3,,6,3,4,600,27,12/1/2000,1985,F,1,3,Local,6,12580631,15
300,HILLVIEW,AVE,6,,6,3,4,690,,12/1/1999,1985,F,1,3,Local,6,12572016,14
