block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs
600,BALLANTYNE,RD,5,,8,4,5,380,30,12/1/1999,1999,O,1,2,Local,3,12576696,0
600,BALLANTYNE,RD,5,,8,4,5,380,30,12/1/1999,1999,O,1,2,Local,3,12576691,0
600,BALLANTYNE,RD,5,,8,4,5,380,30,12/1/1999,1999,O,1,2,Local,3,13020784,0
600,BARNES,AVE,6,,8,4,5,1408,28,12/1/1999,1985,O,1,2,Local,3,12571754,14
600,BEATTIE,ST,3,,8,4,4,396,22,12/1/1998,1999,,1,1,Local,6,12578755,-1
600,BEECH,ST,3,S,8,4,4,1015,24,12/1/1998,1999,,1,1,Local,6,12578171,-1
600,BEECH,ST,3,S,8,4,4,1015,24,12/1/1998,1999,,1,1,Local,6,12578181,-1
600,BEECH,ST,3,S,8,4,4,1015,24,12/1/1998,1999,,1,1,Local,6,12578172,-1
600,BELLEVUE,AVE,6,,5,3,3,323,30,11/1/1999,1983,,2,1,CO,6,12573260,16
600,BRIGHTON,AVE,6,E,7,4,4,637,35,12/1/1998,1985,,4,1,PA,4,12576909,13
600,BRIGHTON,AVE,6,W,6,3,3,557,28,12/1/1998,1985,,1,1,Local,6,12572076,13
600,BROAD,ST,3,,5,2,4,340,36,12/1/1999,1988,,2,1,CO,6,12578386,11
600,BURNET,AVE,6,,7,3,4,1056,42,12/1/1999,1999,,3,1,MA,6,12578242,0
600,BUTTERNUT,ST,3,,5,3,2,410,34,12/1/1998,1985,,3,1,MA,6,12580031,13
600,CADILLAC,ST,3,,7,3,4,,26,12/1/1999,1985,,1,1,Local,,12580609,14
600,CALEB,AVE,6,,8,4,5,,,12/1/1998,1985,,1,1,Local,,12580949,13
600,CANNON,ST,3,,7,4,3,,,12/1/1999,1985,,1,1,Local,,12576810,14
600,CARBON,ST,3,,6,3,4,,,12/1/1999,1985,,1,1,Local,,12575297,14
600,CARBON,ST,3,,6,3,4,,,12/1/1999,1985,,1,1,Local,,12580140,14
600,CATHERINE,ST,3,,5,3,3,800,30,12/1/1998,1985,,1,1,Local,6,12580023,13
600,CHARMOUTH,DR,4,,5,3,2,411,30,12/1/1998,1985,,1,1,Local,6,12571882,13
600,CLARENDON,ST,3,,6,3,3,220,24,12/1/1999,1985,,1,1,Local,6,12577629,14
600,CLINTON,ST,3,S,5,3,2,282,50,2/1/2000,1985,,3,1,MA,,12573694,15
600,COLVIN,ST,3,E,8,4,4,,,12/1/1998,1985,,3,1,MA,,12577318,13
600,COLVIN,ST,3,E,8,4,4,,,12/1/1998,1985,,3,1,MA,,12577315,13
600,COLVIN,ST,3,E,8,4,4,,,12/1/1998,1985,,3,1,MA,,13017689,13
600,COLVIN,ST,3,W,5,3,2,,,12/1/1999,1985,,3,1,MA,,13002128,14
600,COLVIN,ST,3,W,5,3,2,,,12/1/1999,1985,,3,1,MA,,12572152,14
600,COMSTOCK,AVE,6,,7,4,4,3062.4,29,12/1/1998,1985,,3,1,MA,3,12577585,13
600,COUGHLIN,AVE,6,,6,3,3,,,12/1/1998,1985,,1,1,Local,,12581114,13
600,COURT,ST,3,,7,4,3,510,34,12/1/1999,1999,,3,1,MA,6,12575317,0
600,CRAWFORD,AVE,6,,7,3,5,,28,12/1/1999,1999,,1,1,Local,6,12578535,0
600,CROSSETT,ST,3,,4,2,3,264,25,12/1/1999,1985,,1,1,Local,6,12572947,14
600,CROUSE,AVE,6,S,7,3,4,572,36,3/1/2000,1985,,2,1,CO,6,12577764,15
600,CUMBERLAND,AVE,6,,7,4,4,650,29,12/1/1999,1999,,1,1,Local,3,12578494,0
600,DANFORTH,ST,3,,6,3,3,,30,12/1/1999,1985,,1,1,Local,,12575286,14
600,DELAWARE,ST,3,,7,4,3,340,35,2/1/2000,1985,,1,1,Local,,12573097,15
600,DELAWARE,ST,3,,7,4,3,340,35,2/1/2000,1985,,1,1,Local,,12573098,15
600,DELAWARE,ST,3,,7,4,3,340,35,2/1/2000,1985,,1,1,Local,,13020913,15
600,DEMONG,DR,4,,6,2,4,380,23,12/1/1999,1988,,1,1,Local,3,12578934,11
600,DEMONG,DR,4,,6,2,4,380,23,12/1/1999,1988,,1,1,Local,3,13011125,11
600,DEMONG,DR,4,,6,2,4,380,23,12/1/1999,1988,,1,1,Local,3,13011129,11
600,DEMONG,DR,4,,6,2,4,380,23,12/1/1999,1988,,1,1,Local,3,13011127,11
600,DEMONG,DR,4,,6,2,4,380,23,12/1/1999,1988,,1,1,Local,3,12578935,11
600,DEMONG,DR,4,,6,2,4,380,23,12/1/1999,1988,,1,1,Local,3,13011126,11
600,DEWITT,ST,3,,7,3,4,,27,12/1/1998,1986,,1,1,Local,,12580446,12
600,DIVISION,ST,3,E,6,4,3,1200,33,1/1/2000,1985,,1,1,Local,,12580043,15
600,EMERSON,AVE,6,,8,4,4,,,3/1/2000,1999,,1,1,Local,,12572868,1
600,ERIE,BLVD,10,E,7,3,4,,,12/1/1998,1985,,4,1,PA,,13001800,13
600,ERIE,BLVD,10,W,6,3,3,,,12/1/1998,1999,,4,1,PA,,12573623,-1
600,EUCLID,AVE,6,,6,2,4,,39,12/1/1998,1985,,3,1,MA,6,12577604,13
600,FAYETTE,ST,3,E,5,3,2,450,36,3/1/2000,1985,,3,1,MA,6,12577789,15
600,FAYETTE,ST,3,W,6,3,3,475,34,2/1/2000,1988,,3,1,MA,,12573635,12
600,FELLOWS,AVE,6,,7,4,3,,27,12/1/1999,1999,,1,1,Local,6,12578490,0
600,FIRST NORTH,ST,3,,7,4,4,,27,1/1/2000,1999,O,1,2,Local,3,12580167,1
600,FIRST NORTH,ST,3,,7,4,4,,27,1/1/2000,1999,O,1,2,Local,3,12580188,1
600,FRANKLIN,ST,3,N,7,4,4,,30,12/1/1998,1985,,1,1,Local,,12573935,13
600,GEDDES,ST,3,N,7,3,4,,36,2/1/2000,1985,,3,1,MA,,13017348,15
600,GEDDES,ST,3,N,7,3,4,,36,2/1/2000,1985,,3,1,MA,,13017349,15
600,GEDDES,ST,3,N,7,3,4,,36,2/1/2000,1985,,3,1,MA,,12573563,15
600,GEDDES,ST,3,S,8,4,5,400,56,2/1/2000,1999,,3,1,MA,6,12573429,1
600,GENESEE,ST,3,E,5,3,3,500,42,3/1/2000,1985,,3,1,MA,6,12577782,15
600,GENESEE,ST,3,E,5,3,3,500,42,3/1/2000,1985,,3,1,MA,6,13009597,15
600,GENESEE,ST,3,E,5,3,3,500,42,3/1/2000,1985,,3,1,MA,6,13017761,15
600,GENESEE,ST,3,W,7,4,3,1100,50,12/1/1998,1999,,4,1,PA,6,12573810,-1
600,GIFFORD,ST,3,,7,4,3,,30,2/1/2000,1985,,1,1,Local,,13013141,15
600,GIFFORD,ST,3,,7,4,3,,30,2/1/2000,1985,,1,1,Local,,12573434,15
600,GLENCOVE,RD,5,,6,3,3,2880,29,12/1/1999,1985,,1,1,Local,,12580989,14
600,GLENWOOD,AVE,6,,8,4,5,400,,12/1/1999,1999,,3,1,MA,6,12571860,0
600,GRAND,AVE,6,,6,2,4,,25,2/1/2000,1986,,3,1,MA,6,12573026,14
600,HAMILTON,ST,3,,6,3,3,,25,3/1/2000,1999,,1,1,Local,3,12572721,1
600,HAWLEY,AVE,6,,6,3,3,660,,12/1/1998,1983,,1,1,Local,,12578277,15
600,HAWLEY,AVE,6,,6,3,3,660,,12/1/1998,1983,,1,1,Local,,12578274,15
600,HELEN,ST,3,,8,4,4,,,12/1/1998,1985,,1,1,Local,,12580467,13
600,HIAWATHA,BLVD,10,E,7,3,4,,,11/1/1999,1985,,3,1,MA,,12575484,14
600,HIAWATHA,BLVD,10,W,7,4,3,,,12/1/1998,1985,,3,1,MA,,12575008,13
