streetName,streetType,longitude,latitude
MAPLEHURST,AVE,-76.139199,43.0797019
MAPLEWOOD,AVE,-76.139929,42.9882404
MARCELLUS,ST,-76.166863,43.045744
MARCIA,ST,-76.1502063,43.0798438
MARGINAL,ST,-76.159876,43.030289
MARIPOSA,ST,-76.120043,43.062051
MARIS,DR,-76.156797,43.0006706
MARJORIE,ST,-76.1464755,42.994046
MARK,AVE,-76.149703,43.025265
MARKET,ST,-76.1488528,43.0496901
MARKLAND,AVE,-76.179598,43.031711
MARLBOROUGH,RD,-76.112125,43.07171
MARLETT,ST,-76.1548291,43.0083834
MARSHALL,ST,-76.1328423,43.0415932
MARTIN,ST,-76.1498803,43.0803148
MARVIN,RD,-76.1587132,43.011808
MARY,ST,-76.149787,43.063884
MASSENA,ST,-76.1664333,43.0386838
MATHER,ST,-76.128822,43.055399
MATSON,AVE,-76.1479008,43.0129345
MAURICE,AVE,-76.1593139,43.0126276
MAXWELL,AVE,-76.1558443,43.0064112
MAY,AVE,-76.160575,43.021769
MAYAR,ST,-76.137343,43.074677
MAYWOOD,DR,-76.1373132,43.002921
MCALLISTER,AVE,-76.142186,43.022379
MCBRIDE,ST,-76.145833,43.055894
MCCARTHY,AVE,-75.760632,42.8753479
MCCLURE,AVE,-76.141603,43.02148
MCCORMICK,AVE,-75.4859659,42.8509
MCDONALD,RD,-76.1889625,43.0156164
MCKINLEY,AVE,-75.8450485,42.8440048
MCLENNAN,AVE,-76.148857,43.028211
MEADOWBROOK,DR,-76.1111136,43.0336005
MEDORA,PL,-76.1577175,43.0146933
MELBOURNE,AVE,-76.096368,43.0492908
MELROSE,AVE,-76.1187482,43.0644086
MENLO,DR,-76.13803,43.010941
MERRILL,ST,-76.1503066,43.0818538
MERRIMAN,AVE,-76.16739,43.040238
MERRITT,AVE,-76.15584,42.9989854
MERTENS,AVE,-76.133059,43.071292
MERZ,AVE,-76.138573,43.064098
MICHAELS,AVE,-76.1498629,43.0757529
MICHAELS,CIR,-76.136686,43.025449
MIDLAND,AVE,-76.1496369,43.0209727
MIDLER,AVE,-76.1044936,43.0619068
MILBURN,DR,-76.1506893,43.0036264
MILES,AVE,-76.116201,43.033687
MILFORD,CT,-76.097136,43.068072
MILFORD,DR,-76.098748,43.06725
MILNOR,AVE,-76.100057,43.047514
MILTON,AVE,-76.1892118,43.051153
MINEOLA,DR,-76.1078299,43.0359808
MINERVA,ST,-76.143436,43.002978
MITCHELL,AVE,-76.1702729,43.0128966
MONROE,ST,-76.142873,43.041636
MONTANA,ST,-76.112624,43.034881
MONTGOMERY,ST,-76.148867,43.042751
MONTICELLO,DR,-76.1387417,43.002718
MOONEY,AVE,-76.1201182,43.0628079
MOORE,AVE,-76.137009,43.024394
MOREY,AVE,-76.149651,43.009493
MORGAN,AVE,-76.1997458,43.0567529
MORNINGSIDE,TER,-76.124343,43.028466
MORTON,AVE,-76.161209,43.028424
MORTON,ST,-76.1972372,43.0543174
MUNSON,DR,-76.1398772,42.9992054
MURRAY,AVE,-76.155951,43.077481
MYRTLE,ST,-76.1952889,43.0496142
NELSON,ST,-76.1759838,43.0457973
NEUTRAL,CT,-76.150359,43.064934
NEW,ST,-76.149145,43.0406
NEWELL,ST,-76.1507456,43.0171259
NIAGARA,ST,-76.160662,43.044155
NICHOLS,AVE,-76.103446,43.063463
NIVEN,ST,-76.106141,43.047595
NORMAN,AVE,-76.1505892,42.9928317
NORMANOR,DR,-76.1504795,42.9970634
NORTH,AVE,-76.114063,43.075769
NORTHCLIFFE,RD,-76.102099,43.066462
NORTON,AVE,-76.112125,43.07171
NORWOOD,AVE,-76.109797,43.072572
NOTTINGHAM,RD,-76.11127,43.025877
OAK,PL,-76.132109,43.056446
OAK,ST,-76.13601,43.062352
OAKDALE,DR,-76.1559014,43.0072377
OAKWOOD,AVE,-76.1453924,43.0356086
OBERST,ST,-76.144027,43.064316
OLIVE,ST,-76.1940607,43.0574156
ONONDAGA,AVE,-76.1641123,43.0294292
ONONDAGA,ST,-76.1646586,43.0355122
ORLANDO,AVE,-76.1406204,43.0018723
ORWOOD,PL,-76.129792,43.080622
OSTRANDER,AVE,-76.1479888,43.0139575
OSTROM,AVE,-76.1285068,43.0398932
OSTROM,PL,-76.128792,43.034773
OSWEGO,BLVD,-76.1500318,43.0516065
OSWEGO,ST,-76.164127,43.043729
OTISCO,ST,-76.164801,43.045197
OTTO,ST,-76.14039,43.004338
OXFORD,ST,-76.1538112,43.0339498
PACIFIC,AVE,-76.1519562,43.008385
PALMER,AVE,-76.1623922,43.0333297
PALMER,LN,-76.1609891,43.0118375
PARK,AVE,-76.1697066,43.0521708
PARK,ST,-96.179066,40.6585615
PARKSIDE,AVE,-76.1618946,43.0253039
PARKVIEW,AVE,-85.7406819,41.4188479
PARKWAY,DR,-76.16293,43.0243306
PARRISH,LN,-76.1400626,42.9862041
PASTIME,DR,-76.1601685,43.0685434
PATTISON,ST,-76.127369,43.059177
PAUL,AVE,-76.120749,43.069026
PEAT,ST,-76.115494,43.053598
PECK,AVE,-76.122747,43.0689949
PENNSYLVANIA,AVE,-76.1583354,43.0770506
PERSHING,AVE,-76.14024,43.074126
PETERS,ST,-76.146493,43.061519
PHARIS,ST,-76.1907688,43.0556702
PHELPS,PL,-76.137736,42.998612
PHILLIPS,RD,-76.091683,43.046789
PIERCE,ST,-76.1487722,43.0107267
PINE,ST,-76.129771,43.048399
PLEASANT,AVE,-76.1322024,43.1264971
PLEASANTVIEW,AVE,-76.134393,43.077034
PLUM,ST,-96.1838605,40.6580452
PLYMOUTH,DR,-76.099265,43.064571
POLK,ST,-76.092113,43.053689
